Age,Gender,City_Type,Annual_Income,Education_Level,Occupation,Steps_Per_Day,Workout_Days_Per_Week,Preferred_Workout_Type,Workout_Duration_Min,Calories_Burned_Per_Day,Uses_Fitness_App,Features_Used,App_Usage_Frequency,Subscribed_Premium,Motivators_For_Upgrade,Willingness_To_Pay,Fitness_Importance_1_10,Biggest_Challenge,Fitness_Motivated_By,Preferred_Device,NPS_Recommend_1_10,Content_Engaged,Interested_In_Group_Challenges,Fitness_Goal
15,Female,Urban,79567,Postgraduate,Retired,6493,0,None,8,400,No,None,Never,No,None,412,3,Motivation,Self,Fitness Band,3,None,No,Weight Loss
35,Male,Urban,80571,Graduate,Professional,6269,4,Cardio,62,739,Yes,"Workout Plans, Challenges, Step Tracker, Diet Tracking",Daily,No,Social Competitions,267,8,Lack of Time,Family,Smartphone,7,Articles,No,Weight Loss
17,Female,Urban,25239,Postgraduate,Professional,5990,3,None,57,591,Yes,"Workout Plans, Progress Tracking, Step Tracker",Never,No,"Personalized Plans, 1:1 Coach, Custom Diet Plans",365,2,Motivation,Friends,Smartwatch,4,Community Posts,No,Weight Loss
26,Male,Urban,57558,Graduate,Homemaker,10099,6,None,37,857,No,None,Never,No,None,251,5,Guidance,Self,Smartphone,4,None,No,General Wellness
38,Female,Metro,100970,High School,Professional,7001,1,Mixed,5,400,Yes,"Progress Tracking, Workout Plans, Diet Tracking, Step Tracker",Daily,No,Personalized Plans,92,5,Guidance,Influencers,Smartwatch,8,Live Classes,No,Weight Loss
30,Male,Metro,64572,Postgraduate,Other,9428,5,Cardio,29,707,No,None,Never,No,None,469,3,Guidance,Family,Smartphone,3,None,No,Athletic Training
21,Male,Metro,32774,High School,Professional,8691,5,Yoga,54,1046,Yes,"Progress Tracking, Diet Tracking, Challenges, Step Tracker",Daily,Yes,"Custom Diet Plans, Personalized Plans",474,8,Other,Family,Smartphone,10,Articles,Yes,Muscle Gain
24,Male,Semi-Urban,64459,Graduate,Retired,4253,1,Sports,5,405,No,None,Never,No,None,362,2,Cost,Self,Smartphone,4,None,No,Athletic Training
35,Male,Metro,155135,Graduate,Professional,2707,2,None,57,400,Yes,"Workout Plans, Social Community, Diet Tracking, Step Tracker",Daily,Yes,Personalized Plans,749,6,Other,Self,Smartphone,5,Community Posts,Yes,Weight Loss
24,Male,Metro,123432,Postgraduate,Student,3908,1,Cardio,15,465,Yes,"Step Tracker, Diet Tracking, Challenges, Progress Tracking",Daily,No,Social Competitions,389,4,Lack of Time,Family,Smartwatch,6,Articles,Yes,Weight Loss
31,Male,Rural,64151,Postgraduate,Professional,5933,2,Sports,9,547,Yes,"Diet Tracking, Workout Plans, Step Tracker",Daily,No,"Personalized Plans, Advanced Analytics",316,5,Lack of Time,Family,Smartphone,7,Video Workouts,Yes,Weight Loss
30,Female,Metro,106481,Graduate,Student,7335,2,Strength Training,57,580,No,None,Never,No,None,382,3,Motivation,Self,Fitness Band,4,None,No,Weight Loss
24,Female,Rural,55091,Postgraduate,Professional,5379,3,Cardio,29,568,No,None,Never,No,None,406,5,Lack of Time,Self,Smartphone,3,None,No,Muscle Gain
47,Male,Urban,28227,Graduate,Professional,8757,3,Strength Training,45,620,No,None,Never,No,None,438,6,Guidance,None,Smartwatch,2,None,No,Rehabilitation
35,Female,Semi-Urban,41679,Graduate,Professional,5680,7,Mixed,37,669,Yes,"Step Tracker, Diet Tracking, Progress Tracking",Daily,No,Ad-free Experience,558,2,Guidance,Family,Smartwatch,5,Articles,Yes,Muscle Gain
15,Female,Metro,144559,Postgraduate,Student,7642,1,Strength Training,26,674,Yes,"Social Community, Challenges, Step Tracker",Rarely,No,"Social Competitions, Advanced Analytics",378,6,Guidance,Influencers,Smartphone,5,Challenges,No,General Wellness
31,Male,Metro,57699,Postgraduate,Professional,7293,7,Strength Training,5,493,Yes,Challenges,Daily,No,"Custom Diet Plans, Personalized Plans",357,7,Cost,Family,Smartphone,5,Community Posts,Yes,Muscle Gain
24,Male,Urban,58589,Other,Professional,11336,1,None,49,531,No,None,Never,No,None,241,4,Other,Self,Fitness Band,2,None,No,Weight Loss
36,Male,Semi-Urban,56958,Graduate,Retired,4561,5,Strength Training,56,684,Yes,"Workout Plans, Diet Tracking, Step Tracker",Daily,No,Personalized Plans,402,4,Health Issues,Family,Smartphone,5,Articles,No,Muscle Gain
23,Male,Urban,171453,Graduate,Professional,12521,2,Yoga,43,808,Yes,"Workout Plans, Social Community",Daily,Yes,Ad-free Experience,800,7,Lack of Time,Family,Smartphone,8,Live Classes,Yes,Weight Loss
29,Female,Metro,149190,Graduate,Professional,5514,1,Strength Training,46,573,Yes,"Workout Plans, Social Community",Daily,Yes,1:1 Coach,671,7,Motivation,Family,Fitness Band,10,Video Workouts,No,Athletic Training
34,Male,Urban,200664,Postgraduate,Professional,3649,6,Strength Training,38,589,No,None,Never,No,None,415,3,Lack of Time,Self,None,4,None,No,General Wellness
36,Female,Urban,61112,Graduate,Professional,6457,2,Yoga,29,468,No,None,Never,No,None,314,2,Lack of Time,Influencers,Smartwatch,5,None,No,Muscle Gain
20,Female,Urban,76711,Postgraduate,Professional,15100,4,None,73,1284,Yes,"Diet Tracking, Progress Tracking",Daily,No,"1:1 Coach, Personalized Plans",430,5,Guidance,Self,Fitness Band,8,Video Workouts,No,General Wellness
27,Male,Urban,30998,Graduate,Professional,9238,3,Yoga,78,858,Yes,"Progress Tracking, Workout Plans, Step Tracker",Daily,No,"Advanced Analytics, Social Competitions, Ad-free Experience",459,3,Guidance,Self,Smartphone,8,Articles,No,Weight Loss
26,Female,Semi-Urban,138478,Graduate,Professional,8507,3,Sports,99,814,Yes,"Diet Tracking, Challenges",Daily,No,"Personalized Plans, Advanced Analytics, Custom Diet Plans",457,5,Lack of Time,Self,None,6,Challenges,No,General Wellness
24,Male,Urban,36905,Graduate,Other,8987,3,Cardio,7,695,Yes,"Social Community, Challenges, Workout Plans, Diet Tracking",Daily,No,"Ad-free Experience, Advanced Analytics",364,4,Cost,Friends,Smartphone,7,Video Workouts,Yes,General Wellness
44,Female,Metro,73746,Graduate,Professional,5076,4,Cardio,88,820,Yes,Workout Plans,Daily,No,"Personalized Plans, Advanced Analytics, Custom Diet Plans",225,6,Cost,None,Smartphone,6,Articles,Yes,General Wellness
33,Male,Urban,38228,Graduate,Professional,7815,0,Strength Training,39,501,No,None,Never,No,None,276,3,Lack of Time,Friends,Smartwatch,3,None,No,Weight Loss
19,Female,Metro,49294,Postgraduate,Student,7006,4,Cardio,23,593,Yes,"Challenges, Progress Tracking, Step Tracker, Social Community",Daily,No,Personalized Plans,421,6,Motivation,Family,Smartphone,7,Articles,No,Weight Loss
37,Female,Metro,43537,Graduate,Professional,11522,6,Cardio,13,655,Yes,"Workout Plans, Social Community",Daily,Yes,"1:1 Coach, Advanced Analytics, Social Competitions",1067,9,Health Issues,None,Smartphone,8,Video Workouts,Yes,Muscle Gain
46,Male,Metro,48828,Graduate,Homemaker,6728,0,Strength Training,56,400,Yes,"Challenges, Social Community, Diet Tracking",Daily,No,Personalized Plans,309,8,Guidance,Family,Fitness Band,7,Articles,Yes,Rehabilitation
38,Female,Metro,50535,Graduate,Professional,6054,1,Cardio,48,480,Yes,"Progress Tracking, Workout Plans, Step Tracker",Daily,No,Advanced Analytics,404,1,Motivation,Influencers,Smartphone,6,Articles,Yes,Rehabilitation
17,Female,Metro,50305,High School,Student,4088,4,Cardio,45,530,No,None,Never,No,None,283,2,Lack of Time,Friends,Smartphone,4,None,No,Weight Loss
26,Female,Metro,100374,Graduate,Professional,7350,3,Strength Training,48,780,Yes,"Diet Tracking, Social Community",Daily,No,"Advanced Analytics, Social Competitions, Ad-free Experience",233,5,Lack of Time,Influencers,Smartphone,7,Live Classes,Yes,General Wellness
40,Female,Semi-Urban,38084,Graduate,Student,7732,2,Yoga,52,644,Yes,"Workout Plans, Progress Tracking, Diet Tracking",Daily,No,Personalized Plans,268,6,Lack of Time,Influencers,Smartphone,8,Articles,No,Rehabilitation
24,Female,Rural,73885,Graduate,Student,3996,1,None,99,534,Yes,"Workout Plans, Challenges, Diet Tracking, Progress Tracking",Daily,No,"1:1 Coach, Social Competitions, Custom Diet Plans",100,3,Health Issues,Family,None,4,Articles,No,Weight Loss
33,Male,Metro,121659,Graduate,Homemaker,8132,3,Yoga,42,668,Yes,Step Tracker,Daily,No,"Social Competitions, Personalized Plans",512,4,Lack of Time,Influencers,Smartphone,5,Challenges,No,General Wellness
36,Male,Rural,51195,Graduate,Professional,7582,1,Strength Training,51,658,Yes,"Diet Tracking, Step Tracker",Daily,No,"Ad-free Experience, Personalized Plans, 1:1 Coach",82,6,Motivation,Self,Smartphone,8,Video Workouts,Yes,Weight Loss
22,Female,Urban,46214,Graduate,Retired,9533,3,None,26,712,Yes,"Step Tracker, Social Community, Diet Tracking",Daily,No,"Custom Diet Plans, 1:1 Coach",318,6,Lack of Time,Family,Smartphone,6,Challenges,Yes,Weight Loss
29,Male,Metro,58967,Graduate,Homemaker,10030,5,Mixed,107,1244,Yes,"Workout Plans, Step Tracker, Progress Tracking",Monthly,Yes,"Advanced Analytics, Personalized Plans, Social Competitions",523,8,Cost,Friends,Fitness Band,7,Community Posts,No,Weight Loss
15,Female,Metro,119355,Graduate,Professional,7235,2,Cardio,9,495,Yes,"Social Community, Diet Tracking, Step Tracker, Progress Tracking",Weekly,No,"Social Competitions, Ad-free Experience, 1:1 Coach",243,6,Lack of Time,Family,Fitness Band,6,Challenges,No,Muscle Gain
21,Female,Urban,72915,Graduate,Student,4409,3,Cardio,75,522,Yes,"Workout Plans, Diet Tracking",Weekly,No,"Advanced Analytics, Personalized Plans, Custom Diet Plans",515,6,Motivation,Self,Smartphone,6,Community Posts,No,Athletic Training
27,Male,Semi-Urban,50736,Postgraduate,Homemaker,4923,7,Yoga,43,783,Yes,Step Tracker,Monthly,No,Advanced Analytics,374,6,Guidance,Self,Smartphone,8,Community Posts,No,Muscle Gain
20,Male,Urban,84283,Postgraduate,Homemaker,11405,4,Yoga,31,808,Yes,Social Community,Never,No,"Social Competitions, 1:1 Coach, Personalized Plans",234,6,Motivation,Self,Fitness Band,5,Challenges,Yes,Weight Loss
43,Female,Metro,38133,Postgraduate,Homemaker,7413,5,Mixed,13,511,Yes,"Challenges, Workout Plans",Weekly,No,"Personalized Plans, Social Competitions",279,7,Motivation,Family,Smartphone,7,Live Classes,Yes,Weight Loss
18,Male,Metro,93030,High School,Professional,11365,3,Sports,57,977,Yes,"Progress Tracking, Social Community, Challenges, Workout Plans",Daily,Yes,"Ad-free Experience, 1:1 Coach",585,5,Motivation,Family,Smartphone,8,Challenges,No,Muscle Gain
26,Female,Metro,81170,Postgraduate,Professional,8246,5,Yoga,19,510,Yes,"Diet Tracking, Challenges",Daily,No,"Ad-free Experience, Advanced Analytics",344,8,Cost,Family,Smartphone,7,Video Workouts,No,General Wellness
31,Male,Metro,56732,Postgraduate,Homemaker,8884,0,None,69,507,Yes,"Challenges, Progress Tracking",Daily,No,"1:1 Coach, Personalized Plans",370,2,Other,Family,Smartphone,7,Challenges,No,General Wellness
41,Female,Metro,43508,Postgraduate,Professional,9346,1,Strength Training,33,712,Yes,"Step Tracker, Workout Plans",Daily,No,Custom Diet Plans,577,4,Motivation,Influencers,None,7,Live Classes,Yes,Weight Loss
18,Male,Metro,42474,High School,Other,3942,1,Cardio,10,400,Yes,"Workout Plans, Social Community",Never,No,"Advanced Analytics, 1:1 Coach",120,5,Lack of Time,None,Smartwatch,5,Challenges,No,General Wellness
39,Female,Semi-Urban,86457,Graduate,Professional,7767,2,Mixed,39,588,Yes,"Progress Tracking, Diet Tracking",Daily,No,"Ad-free Experience, Social Competitions",345,7,Lack of Time,Friends,Fitness Band,5,Live Classes,Yes,Athletic Training
30,Male,Rural,122331,Postgraduate,Professional,3907,5,Cardio,36,566,Yes,"Social Community, Step Tracker, Workout Plans",Weekly,No,Ad-free Experience,312,1,Cost,Self,Smartwatch,10,Video Workouts,Yes,Muscle Gain
22,Female,Metro,48114,Graduate,Professional,6287,2,Sports,69,616,Yes,Challenges,Daily,Yes,"Advanced Analytics, Social Competitions, 1:1 Coach",841,7,Guidance,Family,Fitness Band,7,Articles,Yes,General Wellness
33,Male,Rural,83215,Graduate,Homemaker,8600,4,None,59,668,Yes,"Step Tracker, Social Community, Challenges",Daily,No,"Ad-free Experience, Custom Diet Plans, 1:1 Coach",392,7,Cost,Self,Smartwatch,6,Live Classes,No,Athletic Training
31,Female,Metro,23306,Graduate,Professional,4436,4,Yoga,13,400,No,None,Never,No,None,420,5,Cost,Family,Smartphone,4,None,No,General Wellness
25,Female,Urban,49399,Graduate,Student,8398,3,Yoga,62,912,Yes,"Workout Plans, Progress Tracking",Daily,No,"Personalized Plans, 1:1 Coach",391,4,Health Issues,Self,Smartphone,9,Live Classes,Yes,General Wellness
30,Male,Metro,65151,High School,Other,3254,2,Strength Training,26,400,No,None,Never,No,None,2964,3,Health Issues,Family,Fitness Band,3,None,No,General Wellness
26,Male,Urban,41988,Graduate,Student,9858,3,Strength Training,24,648,Yes,"Workout Plans, Progress Tracking",Daily,No,"1:1 Coach, Social Competitions, Advanced Analytics",445,5,Cost,Self,Fitness Band,5,Live Classes,Yes,Weight Loss
30,Male,Rural,41429,High School,Homemaker,5338,2,Strength Training,54,465,Yes,Progress Tracking,Daily,Yes,"Ad-free Experience, 1:1 Coach",837,7,Motivation,Family,Smartphone,6,Video Workouts,Yes,General Wellness
35,Female,Urban,47387,Graduate,Professional,4432,0,Yoga,23,400,Yes,"Social Community, Challenges",Weekly,No,"1:1 Coach, Custom Diet Plans, Ad-free Experience",501,4,Motivation,Friends,Smartphone,9,Community Posts,No,Athletic Training
42,Female,Metro,76580,Graduate,Homemaker,3411,7,Sports,83,942,Yes,"Workout Plans, Step Tracker, Diet Tracking",Monthly,No,Custom Diet Plans,400,4,Guidance,Influencers,Smartphone,5,Live Classes,Yes,Weight Loss
20,Female,Urban,60254,Graduate,Professional,5551,1,Yoga,9,459,Yes,Step Tracker,Monthly,No,"Personalized Plans, Custom Diet Plans, Social Competitions",527,6,Guidance,Friends,Smartphone,6,Video Workouts,No,Athletic Training
47,Male,Metro,21609,Graduate,Retired,2230,0,Cardio,35,400,Yes,"Social Community, Step Tracker, Workout Plans, Challenges",Daily,No,"Ad-free Experience, Social Competitions",395,6,Guidance,Self,Smartphone,5,Articles,Yes,General Wellness
15,Male,Semi-Urban,22917,Postgraduate,Retired,5629,6,Strength Training,36,739,Yes,"Challenges, Social Community, Workout Plans, Progress Tracking",Monthly,No,Advanced Analytics,323,6,Lack of Time,None,Smartphone,4,Live Classes,Yes,Muscle Gain
28,Female,Urban,48852,Postgraduate,Student,9748,2,Mixed,15,519,Yes,"Step Tracker, Social Community, Workout Plans, Diet Tracking",Daily,No,1:1 Coach,2334,6,Guidance,Self,Smartwatch,6,Community Posts,No,General Wellness
34,Male,Metro,83186,Graduate,Student,6528,4,Strength Training,27,539,Yes,"Workout Plans, Step Tracker",Daily,No,"Ad-free Experience, 1:1 Coach, Social Competitions",287,7,Motivation,Self,Fitness Band,5,Video Workouts,Yes,Muscle Gain
32,Other,Urban,16751,High School,Professional,4056,2,Strength Training,25,400,No,None,Never,No,None,545,5,Guidance,Family,Smartwatch,3,None,No,General Wellness
25,Male,Urban,51541,Graduate,Professional,7565,2,Sports,9,557,No,None,Never,No,None,385,1,Lack of Time,Self,Smartwatch,6,None,No,Muscle Gain
28,Female,Metro,50862,Postgraduate,Homemaker,7344,2,Yoga,20,449,Yes,Diet Tracking,Weekly,No,"Custom Diet Plans, Advanced Analytics, Personalized Plans",361,4,Motivation,Friends,Smartphone,7,Articles,Yes,Athletic Training
26,Male,Urban,132477,Graduate,Professional,11891,2,Strength Training,32,853,No,None,Never,No,None,396,3,Lack of Time,Self,Smartphone,5,None,No,Muscle Gain
25,Male,Metro,54583,Graduate,Professional,8976,3,Mixed,30,780,No,None,Never,No,None,707,3,Health Issues,Friends,Smartphone,5,None,No,General Wellness
36,Female,Urban,80137,High School,Professional,7763,4,Cardio,56,669,Yes,"Workout Plans, Social Community, Diet Tracking",Daily,No,"Advanced Analytics, Ad-free Experience, 1:1 Coach",214,4,Motivation,Self,Manual Entry,6,Community Posts,Yes,None
32,Female,Semi-Urban,71013,Graduate,Homemaker,9262,3,None,78,798,Yes,"Workout Plans, Step Tracker",Daily,No,Ad-free Experience,248,7,Lack of Time,Family,Smartphone,6,Articles,No,Weight Loss
24,Prefer not to say,Semi-Urban,22804,Postgraduate,Other,6664,7,Cardio,28,631,Yes,"Progress Tracking, Challenges, Diet Tracking, Step Tracker",Daily,Yes,"Personalized Plans, Ad-free Experience, Custom Diet Plans",492,10,Lack of Time,Family,Fitness Band,8,Community Posts,Yes,General Wellness
37,Male,Urban,97158,Postgraduate,Professional,6811,0,Cardio,13,719,Yes,"Step Tracker, Social Community, Challenges",Weekly,No,"Social Competitions, Advanced Analytics",322,6,Cost,Friends,Smartphone,7,Challenges,Yes,Weight Loss
32,Male,Urban,73695,Graduate,Professional,11147,3,Mixed,47,777,Yes,"Challenges, Social Community, Step Tracker, Diet Tracking",Daily,No,"Ad-free Experience, Personalized Plans, Custom Diet Plans",379,6,Lack of Time,Friends,Manual Entry,5,Challenges,No,General Wellness
36,Female,Metro,85317,High School,Student,2911,3,Cardio,32,563,Yes,"Social Community, Workout Plans",Daily,No,Personalized Plans,294,7,Other,Family,Smartphone,7,Challenges,Yes,General Wellness
35,Female,Semi-Urban,471238,High School,Professional,9419,6,Sports,65,915,Yes,"Progress Tracking, Step Tracker, Workout Plans, Social Community",Daily,No,"Ad-free Experience, Personalized Plans",285,3,Guidance,Family,Smartwatch,5,Articles,Yes,Rehabilitation
23,Male,Metro,23340,High School,Professional,6723,0,Mixed,32,400,Yes,"Step Tracker, Social Community, Challenges",Weekly,No,"Custom Diet Plans, Ad-free Experience, Advanced Analytics",367,6,Motivation,Self,Smartphone,6,Challenges,Yes,Athletic Training
25,Male,Urban,156740,Graduate,Professional,6271,3,Mixed,36,493,No,None,Never,No,None,289,5,Guidance,Family,Smartphone,3,None,No,Weight Loss
35,Male,Metro,57312,Graduate,Professional,5617,6,None,31,541,Yes,"Step Tracker, Social Community",Monthly,Yes,Advanced Analytics,746,7,Motivation,Self,Fitness Band,6,Video Workouts,No,Weight Loss
34,Female,Metro,76394,Graduate,Professional,7384,2,Cardio,85,659,Yes,"Diet Tracking, Step Tracker",Daily,No,"Social Competitions, Personalized Plans",483,4,Health Issues,Family,None,2,Video Workouts,Yes,General Wellness
29,Male,Urban,64682,Graduate,Professional,6891,6,Sports,38,662,No,None,Never,No,None,431,3,Motivation,Family,Smartphone,2,None,No,Muscle Gain
30,Male,Metro,53523,Postgraduate,Professional,5963,0,Cardio,69,400,Yes,"Step Tracker, Workout Plans, Social Community, Progress Tracking",Daily,No,"Social Competitions, Advanced Analytics, Personalized Plans",455,5,Other,Self,Manual Entry,10,Challenges,No,Weight Loss
40,Male,Urban,49765,Graduate,Student,5243,4,Strength Training,28,636,Yes,"Workout Plans, Progress Tracking, Step Tracker, Social Community",Daily,No,Custom Diet Plans,480,4,Guidance,Influencers,Smartwatch,6,Community Posts,No,Weight Loss
25,Male,Metro,78022,Postgraduate,Professional,2236,7,Mixed,53,818,No,None,Never,No,None,383,6,Health Issues,Influencers,Smartwatch,5,None,No,Muscle Gain
34,Male,Metro,30989,Postgraduate,Professional,5190,4,Strength Training,58,756,No,None,Never,No,None,330,3,Lack of Time,Self,Smartphone,1,None,No,Weight Loss
28,Male,Urban,96306,High School,Professional,5719,3,Yoga,28,560,Yes,"Social Community, Challenges",Daily,No,Personalized Plans,257,4,Motivation,Family,Smartphone,5,Community Posts,Yes,Athletic Training
28,Male,Metro,53739,Postgraduate,Student,7378,0,Strength Training,59,491,Yes,"Challenges, Step Tracker",Weekly,No,"Ad-free Experience, Advanced Analytics, Personalized Plans",303,5,Cost,Self,Smartphone,4,Articles,No,General Wellness
38,Female,Metro,37607,Graduate,Professional,11907,6,Yoga,9,700,No,None,Never,No,None,287,5,Guidance,Influencers,Manual Entry,3,None,No,General Wellness
36,Male,Urban,52838,Graduate,Retired,5460,3,None,42,451,Yes,"Challenges, Social Community, Step Tracker, Diet Tracking",Daily,Yes,"Personalized Plans, Ad-free Experience",809,8,Lack of Time,Friends,Manual Entry,10,Community Posts,Yes,Weight Loss
36,Female,Metro,124066,Graduate,Professional,4440,0,Cardio,53,400,Yes,"Challenges, Step Tracker, Workout Plans, Diet Tracking",Daily,No,1:1 Coach,391,6,Motivation,Self,Fitness Band,7,Live Classes,Yes,Weight Loss
40,Female,Semi-Urban,50631,Other,Professional,5213,4,Yoga,20,400,Yes,"Social Community, Progress Tracking",Weekly,No,"Personalized Plans, Custom Diet Plans",433,4,Lack of Time,Self,Smartphone,10,Community Posts,No,Muscle Gain
30,Female,Metro,79160,Graduate,Professional,7383,3,Mixed,24,469,Yes,"Social Community, Challenges",Daily,No,"Personalized Plans, Social Competitions",210,8,Guidance,Friends,Smartphone,6,Video Workouts,Yes,None
35,Female,Metro,45913,Graduate,Professional,8471,1,Strength Training,15,664,Yes,"Challenges, Step Tracker",Weekly,No,Ad-free Experience,521,6,Motivation,Self,None,9,Community Posts,Yes,Weight Loss
27,Male,Urban,96660,Postgraduate,Professional,8820,1,Cardio,16,756,Yes,"Diet Tracking, Social Community, Challenges, Progress Tracking",Weekly,Yes,Advanced Analytics,635,9,Motivation,Self,Smartphone,10,Articles,Yes,Weight Loss
32,Male,Metro,93223,High School,Professional,9069,0,Yoga,19,597,No,None,Never,No,None,217,4,Lack of Time,Influencers,Smartwatch,3,None,No,Weight Loss
28,Female,Metro,166758,Postgraduate,Professional,9423,3,Strength Training,59,897,Yes,"Social Community, Step Tracker, Workout Plans, Challenges",Weekly,No,1:1 Coach,297,7,Motivation,Family,Smartphone,6,Community Posts,Yes,General Wellness
30,Prefer not to say,Metro,60610,Postgraduate,Professional,6302,4,Cardio,20,505,Yes,"Step Tracker, Workout Plans, Diet Tracking, Progress Tracking",Daily,No,Social Competitions,648,4,Lack of Time,Self,Smartphone,4,Articles,Yes,General Wellness
34,Female,Metro,92441,Postgraduate,Professional,12132,3,Mixed,6,583,Yes,"Social Community, Step Tracker, Progress Tracking, Diet Tracking",Daily,No,"Ad-free Experience, Social Competitions",303,5,Other,Family,Smartwatch,6,Live Classes,No,Weight Loss
23,Female,Semi-Urban,69496,Doctorate,Professional,6113,5,Strength Training,49,780,No,None,Never,No,None,310,5,Lack of Time,Family,Smartphone,4,None,No,Muscle Gain
46,Female,Metro,126492,Doctorate,Professional,7273,6,None,6,577,Yes,"Challenges, Diet Tracking",Never,No,"Personalized Plans, Ad-free Experience, 1:1 Coach",326,8,Health Issues,Friends,Smartphone,10,Challenges,No,General Wellness
21,Male,Semi-Urban,46193,High School,Student,10239,4,Mixed,34,781,Yes,"Progress Tracking, Step Tracker",Daily,No,"Ad-free Experience, Social Competitions",332,4,Motivation,Self,Manual Entry,4,Live Classes,Yes,Muscle Gain
20,Male,Semi-Urban,96038,Postgraduate,Student,8416,0,Yoga,28,504,No,None,Never,No,None,256,4,Motivation,Self,Fitness Band,4,None,No,General Wellness
39,Female,Metro,60033,Graduate,Homemaker,1397,4,Cardio,27,438,Yes,Step Tracker,Daily,No,"Personalized Plans, Social Competitions, Ad-free Experience",367,5,Lack of Time,Self,Smartwatch,3,Video Workouts,Yes,General Wellness
36,Female,Rural,64081,Graduate,Student,7014,3,Strength Training,10,403,Yes,Workout Plans,Daily,No,"Ad-free Experience, Social Competitions",479,4,Guidance,Self,Smartwatch,6,Live Classes,Yes,General Wellness
34,Male,Metro,69277,Graduate,Professional,9154,3,Cardio,46,650,No,None,Never,No,None,387,4,Cost,Family,Smartphone,4,None,No,General Wellness
35,Female,Rural,75065,Graduate,Retired,3641,4,Mixed,19,400,No,None,Never,No,None,216,5,Motivation,Family,Smartphone,4,None,No,Athletic Training
29,Male,Metro,62435,Other,Professional,8876,2,Cardio,56,692,Yes,"Workout Plans, Progress Tracking, Step Tracker, Challenges",Weekly,No,"Ad-free Experience, Social Competitions, Personalized Plans",308,6,Lack of Time,Self,Smartphone,8,Live Classes,Yes,Athletic Training
22,Female,Urban,73670,Postgraduate,Professional,7975,6,Cardio,47,738,No,None,Never,No,None,283,3,Health Issues,Self,Smartphone,4,None,No,Muscle Gain
30,Male,Urban,145664,Graduate,Professional,9959,1,Strength Training,77,622,Yes,"Progress Tracking, Challenges",Rarely,No,Advanced Analytics,356,6,Other,Influencers,Smartphone,8,Video Workouts,Yes,Weight Loss
24,Male,Metro,108306,High School,Homemaker,5270,4,Cardio,37,494,Yes,"Workout Plans, Challenges, Social Community",Daily,No,"Custom Diet Plans, Personalized Plans, Social Competitions",509,5,Motivation,Family,Smartwatch,7,Video Workouts,Yes,General Wellness
37,Female,Urban,102188,Graduate,Retired,9489,0,Cardio,49,550,No,None,Never,No,None,332,4,Guidance,Family,Smartphone,2,None,No,Weight Loss
28,Male,Urban,52692,Postgraduate,Professional,7399,6,Yoga,22,492,No,None,Never,No,None,339,5,Motivation,Family,Fitness Band,1,None,No,Rehabilitation
23,Female,Metro,42420,Postgraduate,Student,11415,1,Cardio,6,679,Yes,"Step Tracker, Social Community, Challenges, Progress Tracking",Daily,Yes,"Personalized Plans, Custom Diet Plans",966,5,Motivation,Friends,Smartphone,7,Challenges,Yes,Weight Loss
27,Female,Metro,106686,Graduate,Professional,13965,1,Cardio,19,925,Yes,"Workout Plans, Challenges, Step Tracker",Monthly,No,"Social Competitions, Personalized Plans, Advanced Analytics",455,7,Lack of Time,Family,Smartphone,6,Challenges,Yes,Rehabilitation
33,Female,Urban,102541,High School,Professional,10845,2,Strength Training,48,766,Yes,"Progress Tracking, Step Tracker",Monthly,No,"Custom Diet Plans, Personalized Plans, Advanced Analytics",418,3,Motivation,Self,Smartphone,9,Community Posts,No,General Wellness
25,Male,Urban,138183,Graduate,Professional,8201,2,Sports,41,771,Yes,"Challenges, Workout Plans, Progress Tracking",Daily,No,"Custom Diet Plans, Social Competitions",584,7,Health Issues,Influencers,Smartwatch,6,Articles,Yes,General Wellness
23,Male,Rural,48923,Graduate,Student,12802,1,Yoga,29,894,Yes,"Workout Plans, Social Community, Diet Tracking, Challenges",Daily,No,"Social Competitions, Personalized Plans, Advanced Analytics",408,4,Lack of Time,Self,Smartphone,6,Video Workouts,No,Muscle Gain
31,Male,Urban,58996,Postgraduate,Professional,8508,3,Strength Training,26,704,Yes,"Progress Tracking, Step Tracker, Diet Tracking, Challenges",Daily,No,"Personalized Plans, Ad-free Experience",111,4,Guidance,Family,Smartphone,7,Live Classes,No,None
31,Prefer not to say,Rural,29151,Graduate,Homemaker,4730,3,Yoga,14,420,Yes,Workout Plans,Daily,No,1:1 Coach,449,7,Health Issues,Family,Fitness Band,6,Live Classes,No,Weight Loss
25,Female,Urban,54380,Graduate,Professional,6901,0,Strength Training,28,462,Yes,Social Community,Monthly,No,"Advanced Analytics, Ad-free Experience",158,6,Lack of Time,Self,Smartphone,8,Challenges,No,Weight Loss
26,Female,Metro,108910,Graduate,Professional,8904,2,None,28,694,Yes,"Progress Tracking, Workout Plans",Daily,Yes,"Social Competitions, Ad-free Experience, Personalized Plans",767,6,Lack of Time,Self,Smartphone,10,Articles,Yes,Weight Loss
31,Female,Metro,52404,High School,Professional,9064,5,Cardio,74,962,No,None,Never,No,None,144,2,Cost,Influencers,Smartwatch,6,None,No,Rehabilitation
18,Female,Semi-Urban,91148,Doctorate,Homemaker,4186,4,Yoga,45,400,Yes,"Step Tracker, Workout Plans, Progress Tracking",Daily,No,"Custom Diet Plans, Advanced Analytics",293,5,Lack of Time,Self,Smartphone,7,Video Workouts,Yes,Muscle Gain
